user_id,count
18892600,38
18458966,36
6138847,36
75993329,32
1374157100,29
61305871,27
66142525,26
20545493,26
12540299,22
81984345,18
398620029,17
135475168,17
6197504,17
304816,16
10782441,16
11848520,15
55007903,15
3884079,14
22081627,13
37583103,12
4953223,11
33279608,11
454080868,10
25473242,10
19623397,10
34067731,10
18535440,9
70893730,9
54152006,9
1180048,8
150710737,8
11575886,8
84425212,8
526493864,8
7012699,8
135316269,8
19785531,8
106863,8
30100579,7
88397102,7
18995319,7
72898422,7
66136434,7
21508934,7
8937827,6
75454948,6
407449170,6
71364143,6
5969134,6
39273189,6
329151614,6
58284503,6
23071720,6
71818427,5
922736,5
73154742,5
390240198,5
507533146,5
43261842,5
108668,5
3520038,5
48925315,5
25957238,5
14972692,5
21741816,5
24117611,5
459628929,5
549579738,5
57642397,5
43268751,5
1370408615,5
125723483,5
42517004,4
10708940,4
61980386,4
518101200,4
18945505,4
360514605,4
2878731,4
4475020,4
2862562,4
36447215,4
23871956,4
455890613,4
551661483,4
503205807,4
39211767,4
2310930,4
52109645,4
12077832,4
13346483,4
27249378,4
77008567,4
464981100,4
134830372,4
30363839,4
64659174,4
3842756,4
523608,4
16786130,4
77729744,4
15043080,4
650656,4
11273633,4
77557470,4
410598120,4
433921756,4
49719534,4
3098941,4
3856871,4
41209027,4
8926661,4
8577718,4
152369241,4
21144367,4
92225948,3
32028616,3
7725208,3
23464386,3
4316957,3
1288640,3
72665695,3
28574941,3
50336697,3
64499760,3
1184929,3
73228375,3
21666201,3
1296389,3
9396883,3
446396944,3
525492406,3
6972623,3
27480308,3
93620266,3
1390498210,3
193962256,3
1043521,3
55089569,3
89161433,3
58101519,3
32345728,3
30869052,3
4338201,3
28430900,3
15756434,3
45978856,3
401939894,3
30177373,3
4266157,3
524585123,3
2787312,3
3783644,3
52647443,3
555452330,3
522740900,3
104879416,3
47015563,3
151181592,3
30420638,3
210976598,3
48111223,3
47699498,3
59081018,3
65381024,3
34515913,3
26659594,3
57722425,3
226005567,3
420887221,3
468777286,3
11270903,3
33282364,3
107075421,3
327743851,3
49465862,3
33098525,3
151170837,3
66887397,3
124782594,3
7177518,3
45016459,3
552388152,3
149391551,3
149482031,3
67120471,3
102627628,3
1395482068,3
38290675,3
392747010,3
66739750,3
2275563,3
8401519,3
137190809,3
32470231,3
529945911,3
55379583,3
28216406,3
51498789,3
578825888,3
19425188,3
3568168,3
345532666,3
48189333,3
90755222,3
31744536,3
515993545,3
97571018,3
21364007,3
143936424,3
71165239,3
9771656,3
29762304,3
410436250,3
59789089,2
16001272,2
423393725,2
393544720,2
19567362,2
19632103,2
151888559,2
45120132,2
628288,2
9512323,2
8410525,2
90016895,2
467621174,2
108579,2
58618656,2
394249251,2
66754857,2
129674830,2
92511776,2
39229046,2
24010678,2
1390009121,2
43411127,2
64686464,2
3444945,2
1360103452,2
31394197,2
1406336966,2
14178880,2
60552063,2
71244216,2
330399139,2
68416345,2
100736148,2
76919598,2
24861975,2
34201755,2
38422161,2
4582273,2
240676,2
20237496,2
24471002,2
374087518,2
28436734,2
22579349,2
537644691,2
41636356,2
16369934,2
141582952,2
141952967,2
88253487,2
6050532,2
214773869,2
28357681,2
71928655,2
492074369,2
10958159,2
24651992,2
148761735,2
1361943031,2
91052716,2
4919735,2
191314871,2
86329599,2
1368910226,2
11794600,2
33759223,2
603177215,2
29239024,2
117294,2
1616430,2
36856115,2
13127277,2
131576329,2
17193648,2
35759976,2
137104630,2
63061925,2
57390457,2
341087103,2
464159305,2
120874068,2
342128435,2
52641125,2
6943735,2
53502555,2
91505658,2
1367672889,2
1367957231,2
72602118,2
120548919,2
109842373,2
49277928,2
75038118,2
145821786,2
3419971,2
52589005,2
79246874,2
57680499,2
28231413,2
81295020,2
577039209,2
356310085,2
465382610,2
497330473,2
34295186,2
466247129,2
512310471,2
207226077,2
150621087,2
13221049,2
96034336,2
6522255,2
20709887,2
36551361,2
1330150,2
45621017,2
24468696,2
55206971,2
16555110,2
22247920,2
83438143,2
18715158,2
31274426,2
57966583,2
124910075,2
37813449,2
18879240,2
18703811,2
13175317,2
399862630,2
18466911,2
28166736,2
139185701,2
108080611,2
15379716,2
77647561,2
593328319,2
95021004,2
61640723,2
40930054,2
22714445,2
204534670,2
3166314,2
11460174,2
134056582,2
71037476,2
8794328,2
568820677,2
4919313,2
508994614,2
117384892,2
789664,2
69930524,2
157536102,2
22633405,2
119424998,2
261779,2
4906820,2
499147968,2
15067224,2
457562631,2
91930210,2
54104208,2
25362277,2
41995772,2
353691500,2
19212390,2
30168997,2
137854422,2
1403823236,2
179924222,2
118500,2
63003581,2
136689063,2
774542,2
2244905,2
3632945,2
143645402,2
14316762,2
133829818,2
442356680,2
8734301,2
8786952,2
51762901,2
38523895,2
7142670,2
399511352,2
147502440,2
328245830,2
34244407,2
27631036,2
7995859,2
59850451,2
68139940,2
69226956,2
19492469,2
5671760,2
10822616,2
193501686,2
575543475,2
1535140,2
68950706,2
12709513,2
502910,2
92467054,2
11088315,2
30293727,2
134940076,2
16313295,2
1587847,2
345178940,2
10499540,2
499870525,2
25895616,2
1122752,2
111311326,2
531806399,2
69681778,2
45581951,2
94708792,2
191752644,2
533317795,2
139198937,2
99190934,2
149377378,2
3878024,2
1470034,2
37630628,2
75244607,2
410467586,2
47025092,2
64976521,2
71366479,2
11678555,2
104489083,2
17916650,2
68434510,2
1398846682,2
68267871,2
161787488,2
508991755,2
144007960,2
19533767,2
18929453,2
49236719,2
13288361,2
56826660,2
62177385,2
177656244,2
352651726,2
526603252,2
65191042,2
57361570,2
230776,2
27053860,2
1360962777,2
13856965,2
37952078,2
450959937,2
20419863,2
445463579,2
100892028,2
